climbName,climbID,userID1,userID2,userStars2,climbGrade,userStars1
Meat Puppets,106006291,106006286,,,5.11b,4
New Traditionalist,107294941,105836955,,,5.12b,5
New Traditionalist,107294941,107561580,,,5.12b,5
The Underdiddled,106045469,106766740,,,5.10c,4
The Underdiddled,106045469,106031999,,,5.10c,3
The Underdiddled,106045469,106568500,,,5.10c,3
Whores in Church,105979864,105979855,,,5.13c,4
Harmony,109175881,106160564,,,5.11c,5
Love Sock,107127861,106655227,,,5.12a,4
Wingspan,107293346,105810061,,,,4
Wingspan,107293346,107209391,,,,4
White Eyebrow,107294383,107260723,,,,5
White Eyebrow,107294383,105810061,,,,4
White Eyebrow,107294383,106469275,,,,4
Thunderstruck,106820631,106819472,105952525,5,5.12b,5
Thunderstruck,106820631,107089682,106736847,5,5.12b,5
Thunderstruck,106820631,108039185,107256654,5,5.12b,5
Thunderstruck,106820631,106748471,108729739,5,5.12b,5
Thunderstruck,106820631,106506554,105896358,5,5.12b,5
Thunderstruck,106820631,106655109,105967991,5,5.12b,5
Thunderstruck,106820631,106285308,106812895,5,5.12b,5
Thunderstruck,106820631,105836955,106298371,5,5.12b,5
Thunderstruck,106820631,107564433,106892045,5,5.12b,5
Thunderstruck,106820631,106403737,107026497,4,5.12b,4
Thunderstruck,106820631,106995187,108094367,4,5.12b,4
Wad Cutter,109455268,105836955,,,5.12b,3
Aimee's Jugs,107393389,107991333,106489186,4,5.6,5
Aimee's Jugs,107393389,106386525,107140027,4,5.6,4
Aimee's Jugs,107393389,107217526,106992121,4,5.6,4
Aimee's Jugs,107393389,106792700,108729739,4,5.6,4
Aimee's Jugs,107393389,107671600,107479192,4,5.6,4
Aimee's Jugs,107393389,107390507,107298720,3,5.6,4
Aimee's Jugs,107393389,108416778,106655109,3,5.6,3
Aimee's Jugs,107393389,108735174,106679659,3,5.6,3
Aimee's Jugs,107393389,108008667,108394745,3,5.6,3
Aimee's Jugs,107393389,107086784,107595718,3,5.6,3
The Undeserved,106575442,107608804,106536458,5,5.10b/c,5
The Undeserved,106575442,106792700,106655109,5,5.10b/c,5
The Undeserved,106575442,107561580,106919775,5,5.10b/c,5
The Undeserved,106575442,106394111,106405973,5,5.10b/c,5
The Undeserved,106575442,107267683,105871367,5,5.10b/c,5
The Undeserved,106575442,106819472,106031999,5,5.10b/c,5
