107293346,Wingspan,
106045469,The Underdiddled,5.10c
105979864,Whores in Church,5.13c
105966927,Unbroken Chain,5.12a
107294941,New Traditionalist,5.12b
109175881,Harmony,5.11c
109175873,Dominaire,5.7
107153346,Tamarin,5.12b
109195938,Tainted Love,5.12d
107719687,Slave Fingers,5.9
107129370,Workman's Comp,5.10d
107129386,Toss that Beat in the Grabage Can,5.10d
107129362,Preservation of Wildlife,5.11d
107129358,Two Bag Face,5.9
108150623,Never Alone,5.8
106040108,Zealous,5.10d
109033322,Who Knows?,5.7
105963450,The Contortionist,5.9
107982432,Yew Nosemite,5.12b
108903794,Not A Chance Dude,5.10c
108903064,Pedalante,5.9
106386687,Unnamed SL  7,5.10a
108034563,Unnamed 5.10a,5.10
105963446,The Distortionist,5.6
105983069,V-Slot,5.9
106562043,Unknown,5.12b
106561976,Schneezal,5.12a
106386724,Unknown,5.9
109437933,As Surely as the Flower Blooms,5.11a
105943753,Team Jesus,5.10a
107298505,Useless Beauty,5.10
106386768,Two Finger Limit,5.10a
106386782,Tequila Maria,5.10c
105918475,Mutiny,5.11c
107792710,No Refund,5.10d
106386696,Indian Summer,5.10c
105918469,Satisfaction Guaranteed,5.11c
107791064,Hundra Scundra,5.10b
107792700,Bad Hair Day,5.9
106386748,Make Way For Dyklings,5.10a
109053525,Unnamed,5.12b
106386738,Lickty Split,5.9
108842050,The Wanderer,5.10a
106494923,Vanished,5.11c
109053501,Thrill in the Ville,5.11a
108359076,Strip Tease,5.12a
106608581,The Prow,5.12b
108768800,Supermoon,5.11a
107583304,Starry,5.12a
106608544,Skull In Hole,5.12a
107539064,Shake And Not Stir,5.12d
107159878,Mr. Cute,5.11a
109427654,Moselstra\xdfe,5.10d
109427635,La Senora No Contenta,5.11c
108915363,Kurt Albert Gedachtnisweg,5.11b
109050963,Pistol Whip,5.11c
108938386,One Banana,5.11a
106493826,Meathead,5.11c
109033631,Lieutenant Tomek  ,5.9
109023567,King Lichen Me,5.10a
108938328,Madmen Rule the World,5.10d
106608613,Load,5.10d
107159897,Bullocks,5.9
109043168,Happy Sexgiving,5.10b
107929471,Half Mast,5.12b
108915349,First Last and Always,5.12a
109308672,Nasty Wieners,5.9
108903782,Mighty Hermaphrodite,5.10b
108903953,Imagination Dehydrated,5.11b
109419449,Berecik,5.8
108768795,Coffindaffer's Dream,5.11b
107539049,Bittersweet,5.13a
109422840,Beer Pressure,5.11d
109532099,Alleluja,5.10c
108013438,Scott's Turf Builder,5.10a/b
105961531,Stuck In Another Dimension,5.11a
107791123,Rhododenema,5.10a
106859853,Reaching New Heights (New River Gunks Direct),5.11b
105943580,Reachers of Habit,5.11b
108015309,Nine Lives,5.11c
105943599,The Realignment (Entertainer direct),5.10d
105976636,Rapscallion's Blues,5.10c
105997750,Mr. Ed,5.8
105943603,JunkYard Dog (JYD),5.11c
105943588,New River Gunks,5.7+
105990870,Keep it Tight but Don't Give Me AIDS,5.6
107603824,Enteruptus,5.10-
106781863,Nasty Poodle Chew,5.7
106037093,Dreamtime,5.9+
106942219,Chasing Spiders,5.7
106942210,Theme Time,5.6
106179955,Mr. Workman's Crack,5.11b
105966328,Poodle with a Mohawk,5.1
105943658,New Yosemite,5.9
105963441,Jumping Jack Flash,5.7+
106037088,Churning in the Huecos,5.10d
108104154,Bubba Meets Jesus,5.11a
105991670,Antropov's Cold,5.11c
105943666,Four Sheets to the Wind,5.9+
105943609,Cave Routes  1 and  2,5.7
108578879,Slopers Malone,
108589301,Mines of Moria,
108014289,Ann's Revenge,5.8
105943593,The Entertainer,5.10a
106070704,Tobacco Road,5.12b/c
106305759,Surfer Rosa,5.12d
106133390,Pod,5.13b
106447781,Obitchuary,5.12b
106133382,The Mercy Seat,5.13a
106215459,BC,5.13b/c
105967836,Reckless Abandon,5.12a
106932032,Rubbish,5.11a
106323555,Robin,5.8+
106323550,Batman,5.9
107257287,Green Envy,5.12c
107768354,Genocide,5.12a
106021084,Quick Robin to the Batcrack,5.10a
106420023,Disturbance,5.11d
106782924,Milk Run,5.9
105997756,Midnight Moonlight,5.7
106309990,The Hopfenperle Special,5.7
106783037,Rockin' Robin,5.11d
106073387,First Strike,5.10a
108826913,Dark Hollow,5.8
105993531,Your Mother...,5.9
105961603,Where Real Men Dare,5.8
106237478,Two Edged Sword,5.10d
105961608,Talking with Angels,5.11d
106175499,Maranatha,5.10c
107953083,The Force,5.11c
106570206,Beginners Only,5.7
105961569,Agent Orange,5.12a
106883414,The Walrus,5.10-
105963472,Up to Disneyland,5.7
106155558,The Hall Effect,5.8
106155571,Gunky Heaven,5.6
106263776,C.M.Q. (Chloe Madelyn Quinn),5.12b
107048766,The Vertex,5.10c/d
107048795,The Reverse Traverse,5.9
106155566,Out to Lunch,5.8
105963496,Afternoon Delight,5.7
106784212,Reunification ,5.12b
106190832,Promised,5.10b
106784253,Last Tango ,5.11b
106784199,Happy Head,5.8
105964405,Gemini Crack - Rt.,5.10a
106175519,Gemini Crack - Left,5.10c
106175512,Esse Crack,5.10c
107859268,Whiny Bugs,5.12b
106021094,You Want It You Got It,5.9
108053802,The Travisty,5.13c
109107077,Mulatto Serpent,5.12b
106420011,Chunky Monkey,5.12b
106023149,Out of Mind,5.10a
106552240,M.E.N.S.A.,5.11d
106660052,Journey to the Center of the Brain,5.7
106552247,Butta,5.11c/d
106883939,Brain Wave,5.7
106023155,Brain Teasers,5.10a
106831253,Brain Storm,5.8
106890310,The Will To Power,5.11c
109114864,Stuck in Another Direction,5.12b
106023161,Brain Tweezers,5.10b
106036569,Wham Bam Thanks for the Jam,5.10b
107521908,Steve Martin's Face,5.11c
107551000,The Sportster,5.13b
108103364,Ruchert Motion,5.13a
106421437,Grace Note,5.12b
108126425,Chorus Line,5.12b/c
106023192,Spiderwand,5.10b
106127068,Rod Serling Crack,5.10b
106023184,Happy Hands,5.9
